UID,SpeciesName,ProjectStatus,NCBIAccessionNumber,Domain,Kingdom,Phylum,Family,Genus
1,Arabidopsis_halleri,Permanent_Draft,PRJNA323150,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Arabidopsis
2,Oryza_sativa,Complete_and_Published,PRJNA13141,EUKARYAL,Viridiplantae,Streptophyta,Poaceae,Oryza
3,Canis_lupus,Permanent_Draft,PRJNA13179,EUKARYAL,Metazoa,Chordata,Canidae,Canis
4,Ostreococcus_tauri,Permanent_Draft,PRJNA12912,EUKARYAL,Viridiplantae,Chlorophyta,Bathycoccaceae,Ostreococcus
5,Sorghum_versicolor,Permanent_Draft,PRJNA337450,EUKARYAL,Viridiplantae,Streptophyta,Poaceae,Sorghum
6,Limulus_polyphemus,Permanent_Draft,PRJNA20489,EUKARYAL,Metazoa,Arthropoda,Limulidae,Limulus
7,Meloidogyne_hapla,Permanent_Draft,PRJNA29083,EUKARYAL,Metazoa,Nematoda,Meloidogynidae,Meloidogyne
8,Capsella_rubella,Permanent_Draft,PRJNA13878,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Capsella
9,Aquilegia_formosa,Permanent_Draft,PRJNA18745,EUKARYAL,Viridiplantae,Streptophyta,Ranunculaceae,Aquilegia
10,Branchiostoma_floridae,Permanent_Draft,PRJNA20249,EUKARYAL,Metazoa,Chordata,Branchiostomidae,Branchiostoma
11,Hydra_vulgaris,Permanent_Draft,PRJNA12876,EUKARYAL,Metazoa,Cnidaria,Hydridae,Hydra
12,Lotus_japonicus,Permanent_Draft,PRJDA28941,EUKARYAL,Viridiplantae,Streptophyta,Fabaceae,Lotus
13,Micromonas_pusilla,Permanent_Draft,PRJNA15678,EUKARYAL,Viridiplantae,Chlorophyta,Mamiellaceae,Micromonas
14,Erythranthe_guttata,Permanent_Draft,PRJNA13880,EUKARYAL,Viridiplantae,Streptophyta,Phrymaceae,Erythranthe
15,Ricinus_communis,Permanent_Draft,PRJNA16585,EUKARYAL,Viridiplantae,Streptophyta,Euphorbiaceae,Ricinus
16,Volvox_carteri,Permanent_Draft,PRJNA13109,EUKARYAL,Viridiplantae,Chlorophyta,Volvocaceae,Volvox
17,Lytechinus_variegatus,Permanent_Draft,PRJNA62399,EUKARYAL,Metazoa,Echinodermata,Toxopneustidae,Lytechinus
